#{"t_start": 1743454112.247222, "env_id": "None"}
r,l,t
0.0,164,27.277108
1.0,164,27.27797
0.0,164,27.277994
0.0,164,27.278003
2.0,184,30.406622
3.0,184,30.406673
0.0,184,30.406685
0.0,184,30.406693
3.0,204,33.552704
2.0,204,33.552765
0.0,204,33.552778
0.0,204,33.552787
2.0,224,36.680161
4.0,224,36.680368
0.0,224,36.680381
0.0,224,36.680389
3.0,244,39.788941
4.0,244,39.789262
0.0,244,39.789283
0.0,244,39.789293
2.0,264,42.934164
2.0,264,42.934264
1.0,264,42.934277
1.0,264,42.934284
7.0,324,52.59946
4.0,324,52.600266
0.0,324,52.600289
0.0,324,52.600299
0.0,164,56.532508
2.0,164,56.532581
0.0,164,56.53262
0.0,164,56.532629
1.0,204,59.673581
2.0,204,59.673621
1.0,204,59.673632
0.0,204,59.673639
1.0,164,59.673646
2.0,164,59.673652
0.0,164,59.673658
0.0,164,59.673664
8.0,384,62.220001
4.0,384,62.22005
0.0,384,62.220063
0.0,384,62.220071
1.0,164,62.857728
3.0,164,62.857779
0.0,164,62.857794
0.0,164,62.857801
2.0,164,69.609199
0.0,164,69.610124
0.0,164,69.610156
0.0,164,69.610181
0.0,164,83.60098
3.0,164,83.601113
0.0,164,83.601131
0.0,164,83.601139
3.0,204,86.286628
3.0,204,86.286679
0.0,204,86.286692
0.0,204,86.286704
5.0,304,89.614777
2.0,304,89.614842
0.0,304,89.614856
0.0,304,89.614864
2.0,184,90.27985
1.0,184,90.279899
0.0,184,90.279916
0.0,184,90.279924
2.0,224,96.960324
1.0,224,96.960377
0.0,224,96.96039
1.0,224,96.960398
4.0,224,100.270793
1.0,224,100.271586
0.0,224,100.271606
0.0,224,100.271616
4.0,244,110.272222
3.0,244,110.272294
0.0,244,110.27231
0.0,244,110.272318
2.0,164,110.929082
1.0,164,110.929136
0.0,164,110.929148
0.0,164,110.929156
7.0,304,112.899102
2.0,304,112.899155
0.0,304,112.899168
0.0,304,112.899176
3.0,164,113.575385
0.0,164,113.575437
0.0,164,113.575449
0.0,164,113.575457
0.0,184,120.829844
3.0,184,120.82991
0.0,184,120.829923
0.0,184,120.829931
1.0,224,126.795453
2.0,224,126.795505
1.0,224,126.795519
0.0,224,126.795527
1.0,184,130.871725
0.0,184,130.871792
0.0,184,130.871807
1.0,184,130.871816
1.0,224,134.266964
3.0,224,134.267729
0.0,224,134.267745
0.0,224,134.267754
0.0,184,143.634256
1.0,184,143.635266
0.0,184,143.635281
0.0,184,143.63529
2.0,164,148.483642
2.0,164,148.483694
0.0,164,148.483707
0.0,164,148.483715
4.0,224,151.249984
3.0,224,151.250034
0.0,224,151.250049
0.0,224,151.250057
2.0,244,151.940381
4.0,244,151.940431
0.0,244,151.940443
0.0,244,151.940451
3.0,264,154.679606
5.0,264,154.67967
0.0,264,154.679684
0.0,264,154.679693
0.0,164,158.800199
1.0,164,158.800253
0.0,164,158.800269
